error_mean error_std nr_incoherent_ffl nr_neg_feed
1.498000000000000043e+01 1.435130656072819200e+00 9.900000000000000000e+01 6.700000000000000000e+01
1.388000000000000078e+01 1.243221621433604263e+00 1.040000000000000000e+02 7.500000000000000000e+01
1.496000000000000085e+01 1.264278450342328552e+00 1.230000000000000000e+02 8.200000000000000000e+01
1.419999999999999929e+01 1.483239697419132641e+00 1.080000000000000000e+02 7.600000000000000000e+01
1.450000000000000000e+01 1.135781669160054630e+00 1.070000000000000000e+02 7.000000000000000000e+01
1.432000000000000028e+01 1.287478155154486492e+00 9.500000000000000000e+01 7.600000000000000000e+01
1.500000000000000000e+01 1.216552506059643823e+00 1.190000000000000000e+02 7.000000000000000000e+01
1.461999999999999922e+01 1.398427688513067091e+00 1.220000000000000000e+02 8.600000000000000000e+01
1.380000000000000071e+01 1.095445115010332149e+00 9.300000000000000000e+01 5.900000000000000000e+01
1.438000000000000078e+01 1.398427688513067091e+00 1.160000000000000000e+02 5.300000000000000000e+01
1.435999999999999943e+01 1.091054535758868571e+00 1.300000000000000000e+02 5.300000000000000000e+01
1.438000000000000078e+01 1.231097071720991476e+00 1.130000000000000000e+02 6.500000000000000000e+01
1.430000000000000071e+01 1.236931687685298265e+00 1.190000000000000000e+02 7.500000000000000000e+01
1.408000000000000007e+01 1.339253523422656578e+00 9.800000000000000000e+01 5.200000000000000000e+01
1.380000000000000071e+01 1.356465996625053849e+00 1.090000000000000000e+02 5.800000000000000000e+01
1.396000000000000085e+01 1.165504182746677220e+00 1.230000000000000000e+02 6.400000000000000000e+01
1.377999999999999936e+01 1.082404730218784694e+00 1.220000000000000000e+02 6.600000000000000000e+01
1.435999999999999943e+01 1.307822617941745147e+00 1.260000000000000000e+02 8.300000000000000000e+01
1.351999999999999957e+01 1.043839068055991248e+00 9.400000000000000000e+01 7.800000000000000000e+01
1.406000000000000050e+01 1.332816566523691071e+00 1.060000000000000000e+02 6.900000000000000000e+01
1.400000000000000000e+01 1.264911064067351765e+00 1.280000000000000000e+02 4.300000000000000000e+01
1.374000000000000021e+01 1.110135126910233527e+00 1.390000000000000000e+02 5.300000000000000000e+01
1.432000000000000028e+01 1.239999999999999991e+00 1.160000000000000000e+02 6.800000000000000000e+01
1.475999999999999979e+01 1.335065541462290950e+00 1.340000000000000000e+02 7.700000000000000000e+01
1.430000000000000071e+01 1.204159457879229622e+00 8.600000000000000000e+01 6.900000000000000000e+01
1.443999999999999950e+01 1.042305137663630754e+00 1.120000000000000000e+02 5.700000000000000000e+01
1.416000000000000014e+01 8.800000000000000044e-01 9.400000000000000000e+01 7.200000000000000000e+01
