error_mean error_std
3.601900600768144778e-01 2.306625282319681169e-02
3.691429384319256934e-01 2.893659916099492954e-02
3.847041742001304776e-01 2.930977293777289189e-02
4.025732505037520337e-01 3.172582907371679362e-02
3.691955241267056986e-01 3.444978113185702406e-02
3.733574861627150243e-01 3.278371163426596624e-02
3.648194444463389030e-01 2.607781708176285657e-02
3.664745051199586601e-01 2.467631659770952793e-02
3.679810011730544339e-01 2.718847378709248266e-02
3.937370102611917333e-01 4.688969494943917571e-02
3.575067446055824605e-01 2.185861093801427790e-02
3.634712558225188239e-01 2.079111223748349169e-02
3.697334685807163179e-01 2.063200399066662111e-02
3.775239765549131543e-01 3.011222461050798785e-02
3.695601681862978327e-01 3.059597648996902411e-02
3.599822937581022564e-01 2.149206566428649504e-02
3.722458318930497723e-01 3.230354048593299388e-02
3.888176716091300000e-01 4.362778048961241106e-02
4.031397820715728608e-01 6.239389701730824883e-02
3.515121366536691494e-01 1.801128429195907391e-02
3.741197968556054798e-01 2.995875142368219224e-02
3.802148387127627926e-01 3.750584845427614583e-02
3.745430105529445330e-01 2.089882986459996178e-02
3.625352518208749264e-01 3.067763853841353611e-02
3.790735615917429913e-01 5.848378267095071664e-02
3.820412156383969915e-01 3.663369593660205370e-02
3.787153195751190027e-01 3.007932348417534721e-02
3.679633787107574050e-01 3.106893870375062802e-02
3.661804237985013533e-01 2.260202420889878897e-02
3.685419412815496565e-01 2.333011354261924422e-02
3.630655248945726110e-01 2.842105825001670083e-02
3.798335204359885031e-01 3.468068514885153109e-02
3.688818876154917326e-01 2.744011461739484167e-02
3.648752182516372677e-01 2.592363079499385159e-02
3.713473145498260575e-01 3.811310267542895869e-02
3.672152509522648711e-01 2.643211359093071769e-02
3.631027778300490727e-01 2.518364549119305948e-02
3.778954390204752878e-01 3.407553491118055222e-02
3.681002035373182046e-01 2.585975175942949178e-02
3.670765491760319965e-01 2.300861346445753908e-02
3.791892298661574956e-01 5.569572358770175091e-02
3.706699452703140496e-01 3.163441359542862319e-02
3.683020588350341962e-01 2.652357116963793143e-02
3.954307471188608369e-01 3.670216748884466001e-02
3.706744793170661523e-01 2.301189249262990122e-02
3.606709061113954617e-01 2.022089998219412516e-02
3.748305356604342831e-01 2.871492968899556561e-02
3.655166798100304426e-01 1.721028395057849075e-02
3.716366626198551737e-01 2.804505195005313131e-02
4.032963289060644274e-01 8.878901315897520796e-02
3.637163936324748770e-01 2.085940647586930971e-02
3.610878789989469539e-01 2.706429213123761821e-02
3.743758659441999148e-01 2.733652465953781072e-02
3.884630652516709581e-01 3.816374531291989031e-02
3.885904114847978374e-01 3.061820121027850061e-02
3.825816294105232052e-01 2.845335578834459062e-02
3.662463785882749678e-01 2.432373022364410151e-02
3.694320261738756050e-01 2.349941519496625414e-02
3.753004253703475790e-01 4.059467923955751428e-02
3.812690601062698192e-01 3.392414650004588889e-02
3.720328859406547561e-01 2.470939483262807670e-02
3.691722691809347645e-01 2.397319311026328489e-02
3.781405041344104712e-01 3.089396874370813756e-02
3.866944307604102682e-01 3.114147583146621018e-02
3.704506230387418775e-01 2.708106699922640040e-02
3.700578945292127275e-01 2.371512376720159507e-02
3.717924734662644837e-01 3.168542893506373637e-02
3.671980917872760264e-01 2.086518480423095109e-02
3.653602152692523863e-01 2.588164470515079418e-02
3.889228484940816521e-01 2.756309218650507958e-02
3.955802443910495514e-01 4.009712833067236026e-02
3.676090407609693966e-01 3.813148240153114987e-02
3.664973323989544896e-01 2.524164376191039352e-02
3.861846789950714731e-01 5.233023342514917658e-02
3.760364259834435563e-01 2.352971737678214575e-02
3.656246703848728408e-01 3.267067349756817146e-02
3.625221835784901980e-01 2.592089067377195688e-02
3.969203336793855619e-01 3.082487219005230691e-02
3.793105546395469374e-01 2.848215543092142560e-02
